ID,Nombre,Autor,Interprete,Fecha publicacion
1,Shura no Hana,DOES,Wataru Ujihara,12/5/2010
2,Mayonaka Shounen Totsugekidan,STANCE PUNKS,Tsuru Shinya,3/8/2004
3,Promise (Theme of Silent Hill),Akira Yamaoka,Mary Elizabeth McGlynn,21/9/2001
4,In the Aeroplane Over the Sea,Neutral Milk Hotel,Jeff Mangum,10/2/1998
5,I.N.M.,syrup16g,Ishida Motoaki,18/7/2003
6,Wonderwall,Oasis,Liam Gallagher,30/10/1995
7,Once in a Lifetime,Talking Heads,David Byrne,14/11/1980
8,Urban Guitar Sayonara,Number Girl,Shutoku Mukai,27/6/2000
9,Karma Police,Radiohead,Thom Yorke,24/3/1997
10,Kanashii Uta,Hanumaan,Shuhei Kato,9/4/2013
11,Kandagawa,Kaguyahime,Koshiro Iwasa,15/9/1973
12,Toumei Shounen,DOES,Wataru Ujihara,1/1/2012
13,Mukiryoku Shojo,STANCE PUNKS,Tsuru Shinya,19/6/2005
14,Room of Angel,Akira Yamaoka,Mary Elizabeth McGlynn,22/10/2004
15,Holland, 1945,Neutral Milk Hotel,Jeff Mangum,13/3/1998
16,Real,syrup16g,Ishida Motoaki,5/5/2001
17,Don't Look Back in Anger,Oasis,Noel Gallagher,2/12/1996
18,Psycho Killer,Talking Heads,David Byrne,20/9/1977
19,Tombo no Gassan,Number Girl,Shutoku Mukai,28/2/2002
20,No Surprises,Radiohead,Thom Yorke,17/11/1997
21,Naraku,Hanumaan,Shuhei Kato,12/3/2014
22,Impression,Kaguyahime,Koshiro Iwasa,7/10/1974
23,Guren,DOES,Wataru Ujihara,30/4/2006
24,Keep On,STANCE PUNKS,Tsuru Shinya,4/7/2008
25,You're Not Here,Akira Yamaoka,Mary Elizabeth McGlynn,11/11/2003
26,Ghost,Neutral Milk Hotel,Jeff Mangum,23/6/1999
27,Sonic Disorder,syrup16g,Ishida Motoaki,9/9/2002
28,Champagne Supernova,Oasis,Liam Gallagher,26/5/1995
29,This Must Be the Place,Talking Heads,David Byrne,8/8/1983
30,Destruction Baby,Number Girl,Shutoku Mukai,16/4/2000
31,Creep,Radiohead,Thom Yorke,21/2/1993
32,Genshi,Hanumaan,Shuhei Kato,19/8/2015
33,Shiroi Ichinichi,Kaguyahime,Koshiro Iwasa,3/7/1975
34,Bakemono,DOES,Wataru Ujihara,12/12/2011
35,Midori no Hibi,STANCE PUNKS,Tsuru Shinya,25/1/2006
36,I Want Love,Akira Yamaoka,Mary Elizabeth McGlynn,6/6/2005
37,Two-Headed Boy,Neutral Milk Hotel,Jeff Mangum,29/9/1998
38,Utsukushii Hibi,syrup16g,Ishida Motoaki,15/10/2003
39,Live Forever,Oasis,Noel Gallagher,7/3/1994
40,Burning Down the House,Talking Heads,David Byrne,2/6/1983
41,Omoide in My Head,Number Girl,Shutoku Mukai,14/7/2001
42,Fake Plastic Trees,Radiohead,Thom Yorke,6/12/1995
43,Akumu,Hanumaan,Shuhei Kato,11/1/2016
44,Sakura,Kaguyahime,Koshiro Iwasa,26/3/1976
45,Yoru wa Nemureru kai?,DOES,Wataru Ujihara,3/9/2013
46,Kizuna,STANCE PUNKS,Tsuru Shinya,9/5/2007
47,Letter - From the Lost Days,Akira Yamaoka,Mary Elizabeth McGlynn,17/8/2004
48,Communist Daughter,Neutral Milk Hotel,Jeff Mangum,1/10/1999
49,Tenraku,syrup16g,Ishida Motoaki,31/8/2002
50,Roll With It,Oasis,Liam Gallagher,10/9/1995
51,Life During Wartime,Talking Heads,David Byrne,6/10/1979
52,Sasurai,Number Girl,Shutoku Mukai,13/5/1999
53,There There,Radiohead,Thom Yorke,19/6/2003
